eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
,135168,,66,284,474,50.0,-9.0123417,,,,,,,,,,,
50.0,136000,-8.723330542072654,,,,,,-0.008231166479527019,0.9795195683836937,0.2349609375,1.9118480630218984,0.09184764325618744,660,0.003969196230173111,0.2,0.0003,0.021132164,0.046100516483420506
50.0,137000,-8.723330542072654,,,,,,,,,,,,,,,,
,137216,,67,284,481,50.0,-8.677703950000001,,,,,,,,,,,
50.0,138000,-8.598105544131249,,,,,,-0.0006668268993962556,0.9705044664442539,0.185693359375,1.9550460331141948,0.09024220705032349,670,-0.01919025368988514,0.2,0.0003,0.019493511,0.060205029643839225
50.0,139000,-8.598105544131249,,,,,,,,,,,,,,,,
,139264,,68,284,488,50.0,-8.768928859999999,,,,,,,,,,,
50.0,140000,-8.505648175720125,,,,,,-0.006095824489602819,0.9834046512842178,0.211865234375,2.0100739546120168,0.08725681900978088,680,-0.023042915388941765,0.2,0.0003,0.018516442,0.051899109658552336
50.0,141000,-8.505648175720125,,,,,,,,,,,,,,,,
,141312,,69,285,495,50.0,-8.684964979999998,,,,,,,,,,,
50.0,142000,-8.389425141643732,,,,,,-0.009714286521193572,0.9815634526312351,0.2423828125,2.073890595138073,0.08468315005302429,690,0.03748242184519768,0.2,0.0003,0.019515788,0.07336661659646779
50.0,143000,-8.389425141643732,,,,,,,,,,,,,,,,
,143360,,70,284,503,50.0,-8.67802489,,,,,,,,,,,
50.0,144000,-8.381615450419485,,,,,,-0.0018895459041232243,0.9735722187906504,0.24267578125,2.115258441865444,0.08350174129009247,700,0.019542265683412552,0.2,0.0003,0.023895746,0.08366311570862309
50.0,145000,-8.381615450419485,,,,,,,,,,,,,,,,
,145408,,71,285,510,50.0,-8.57322764,,,,,,,,,,,
50.0,146000,-8.457767248153687,,,,,,-0.0007874510120018385,0.98228769749403,0.218359375,2.1477788403630256,0.08212226629257202,710,0.033676017075777054,0.2,0.0003,0.017761525,0.0752792323473841
50.0,147000,-8.457767248153687,,,,,,,,,,,,,,,,
,147456,,72,285,517,50.0,-8.54951103,,,,,,,,,,,
50.0,148000,-8.45975862853229,,,,,,0.003473383147502318,0.9886681539937854,0.193359375,2.179762163758278,0.08069923520088196,720,0.03405867889523506,0.2,0.0003,0.01613055,0.07642523194663227
50.0,149000,-8.45975862853229,,,,,,,,,,,,,,,,
,149504,,73,285,524,50.0,-8.55153148,,,,,,,,,,,
50.0,150000,-8.431516232993454,,,,,,-0.0004182648553978652,0.9894086364656687,0.22109375,2.2117658093571664,0.07973915338516235,730,0.022396905347704887,0.2,0.0003,0.021382138,0.05678261561552063
50.0,151000,-8.431516232993454,,,,,,,,,,,,,,,,
,151552,,74,285,530,50.0,-8.23303613,,,,,,,,,,,
50.0,152000,-8.308783501666039,,,,,,-0.0027553172170883045,0.9877113830298185,0.18623046875,2.2417635090649126,0.07821444422006607,740,0.03154021501541138,0.2,0.0003,0.012604009,0.07715861574397423
50.0,153000,-8.308783501666039,,,,,,,,,,,,,,,,
,153600,,75,285,538,50.0,-8.475242329999999,,,,,,,,,,,
50.0,154000,-8.174434360023588,,,,,,-0.005926431927946396,0.9862049883231521,0.240087890625,2.2701806634664536,0.07758565247058868,750,0.025102611631155014,0.2,0.0003,0.024636207,0.07215202539227902
50.0,155000,-8.174434360023588,,,,,,,,,,,,,,,,
,155648,,76,285,545,50.0,-8.689391720000001,,,,,,,,,,,
50.0,156000,-8.156764857284724,,,,,,-0.0005626736994599924,0.9921662546694279,0.216357421875,2.2807325422763824,0.07725648581981659,760,0.0445847362279892,0.2,0.0003,0.024196126,0.06052740120794624
