time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
212992,104,720,210.06612916000006,295,444.2,1030,0.10492169857025146,0.392138671875,-0.03719055100809783,0.2,13.87504646293819,-1.299762363359332,0.0003,0.036523316,0.28303033113479614,8.54333209991455,,
215000,,,,,,1040,0.13665258884429932,0.40224609375,-0.03425864999881014,0.2,14.933468461222947,-1.2116300955414772,0.0003,0.043999992,0.28085798025131226,4.752165794372559,1000.0,912.7446598470211
215040,105,735,216.75442532999998,292,449.47,,,,,,,,,,,,,
217088,106,739,229.85179002999996,293,470.45,1050,0.21696490049362183,0.362158203125,-0.03224614007340278,0.2,16.81196854375303,-1.1446207951754332,0.0003,0.037695862,0.278300940990448,3.3373007774353027,,
219136,107,743,241.64070130000005,294,486.17,1060,0.098940908908844,0.454443359375,-0.03863549196976237,0.2,9.323698968440294,-1.0326693955808879,0.0003,0.066845,0.27349960803985596,0.3759694993495941,,
220000,,,,,,1070,0.4296985864639282,0.444384765625,-0.033615541564358864,0.2,7.8225581657141445,-0.9169841542840004,0.0003,0.052170385,0.2699414789676666,0.7169472575187683,1000.0,914.0017296433449
221184,108,758,251.33239829000001,291,498.55,,,,,,,,,,,,,
223232,109,762,260.93757033,292,508.99,1080,0.4399682283401489,0.5076171875,-0.06142450995976105,0.2,0.9224206374026835,-0.7596005994826556,0.0003,0.07931435,0.2644381821155548,0.20124933123588562,,
225000,,,,,,1090,0.15578120946884155,0.422509765625,-0.03533184701518621,0.2,10.84793424513191,-0.6385439671576023,0.0003,0.04475382,0.2605695128440857,3.4268712997436523,1000.0,910.0973188638687
225280,110,777,273.26644704,289,527.07,,,,,,,,,,,,,
227328,111,782,286.16217253,290,546.19,1100,0.7062411308288574,0.443505859375,-0.05795023288519587,0.2,0.6763111884240061,-0.49105362333357333,0.0003,0.062460836,0.25592508912086487,0.12061496078968048,,
229376,112,786,295.55961517,291,555.5,1110,0.5929834842681885,0.464453125,-0.06841180293704383,0.2,0.46931944033131,-0.3227558858692646,0.0003,0.061835885,0.2502460479736328,0.07300294935703278,,
230000,,,,,,1120,0.8144638538360596,0.44814453125,-0.07359370833437424,0.2,0.390669459104538,-0.13231155499815941,0.0003,0.061094552,0.2440149188041687,0.08973170816898346,1000.0,858.9606569588184
231424,113,801,301.24079793,288,558.22,,,,,,,,,,,,,
