train/learning_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/actor_loss,time/fps,eval/mean_ep_length,eval/mean_reward
,632,1000.0,760.4902017700001,4506,,,615965,,136,,
0.001,636,1000.0,749.92020782,4526,0.8437577902078629,618965,619965,-48.964057357788086,136,,
0.001,,,,,0.8062115226089954,619965,620000,-48.9703171005249,,1000.0,860.2964098654687
0.001,640,1000.0,757.4483852199999,4557,0.8163331257998944,622965,623965,-49.35057489013672,136,,
0.001,,,,,0.830680334508419,624965,625000,-49.56616674041748,,1000.0,807.6822609337047
0.001,644,1000.0,763.8806819299998,4587,0.9868006907701492,626965,627965,-49.72126592254639,136,,
0.001,,,,,0.9087563679814339,629965,630000,-50.41364608001709,,1000.0,856.1472979672253
0.001,648,1000.0,761.5267482199998,4618,0.8726929975152016,630965,631965,-50.82356209564209,136,,
0.001,,,,,0.9136861262023449,634965,635000,-51.11834317779541,,1000.0,761.1667003509589
,652,1000.0,761.5380746,4649,,,635965,,136,,
0.001,656,1000.0,728.20985327,4670,0.8290173067450524,638965,639965,-51.083986114501954,137,,
